Exporters	2020-Imported quantity, Tons	2021-Imported quantity, Tons	2022-Imported quantity, Tons	2023-Imported quantity, Tons	2024-Imported quantity, Tons	
"World"	40259	45054	40423	31661	30376	
"China"	9336	15613	12836	8761	8994	
"Switzerland"	3982	4432	4734	4703	4425	
"Italy"	4398	4182	3427	3300	3608	
"Thailand"	1456	1726	1755	1989	2610	
"Viet Nam"	984	904	981	1430	1043	
"Czech Republic"	1007	1063	981	880	881	
"Serbia"	610	530	676	814	823	
"Slovakia"	1257	1160	1086	806	756	
"Netherlands"	7694	5723	5990	1606	719	
"Romania"	765	1293	1030	1128	699	
"India"	953	997	647	546	658	
"France"	849	821	833	748	655	
"Philippines"	424	533	377	451	585	
"Poland"	991	847	845	379	471	
"Hungary"	1048	1157	926	683	463	
"Japan"	485	256	169	211	388	
"Macedonia, North"	0	0	66	306	382	
"Austria"	712	848	580	522	346	
"Mexico"	83	97	190	352	324	
"Slovenia"	598	562	261	196	196	
"Spain"	381	364	257	186	165	
"Ireland"	149	210	233	202	158	
"Korea, Republic of"	421	258	352	264	133	
"United States of America"	138	152	155	143	130	
"Sweden"	19	14	98	111	117	
"Denmark"	89	64	53	130	113	
"Malaysia"	86	107	111	100	94	
"United Kingdom"	100	102	111	85	78	
"Taipei, Chinese"	160	188	164	95	75	
"Myanmar"	67	77	84	61	62	
"Portugal"	690	202	23	52	59	
"Canada"	4	4	6	29	24	
"Morocco"	14	24	33	23	24	
"Indonesia"	2	72	81	84	20	
"Türkiye"	16	15	18	19	18	
"Hong Kong, China"	163	304	131	64	17	
"Cambodia"	2	3	3	6	14	
"Belgium"	31	60	22	14	12	
"Tunisia"	1		0	1	9	
"Brazil"	53	52	79	143	8	
"Israel"	5	5	5	4	6	
"Argentina"	0	0	0	3	5	
"Bulgaria"	22	15	6	2	4	
"El Salvador"					2	
"Albania"			0	1	1	
"Bosnia and Herzegovina"	0	0	1	0	1	
"Singapore"	7	16	3	19	1	
"Faroe Islands"					0	
"Ukraine"	0	0			0	
"Australia"	0	0	0	0	0	
"Bahamas"	0				0	
"Bahrain"		0	0		0	
"Armenia"					0	
"Chile"	0	0			0	
"Colombia"	0		0	0	0	
"Costa Rica"	0	0	0		0	
"Croatia"		1	0	4	0	
"Estonia"	0	1	0	0	0	
"Finland"	0	0	1	1	0	
"Georgia"		0		0	0	
"Greece"	1	0	0	0	0	
"Iceland"		0	0	0	0	
"Kuwait"					0	
"Latvia"	0		0	0	0	
"Lithuania"	0	0	0	0	0	
"Luxembourg"	0	0	0	1	0	
"Malta"					0	
"Mauritius"					0	
"Oman"		0			0	
"New Zealand"	0	0	0	0	0	
"Norway"	0	0	1	0	0	
"Saudi Arabia"	0	0	0	0	0	
"South Africa"	1	0	2	3	0	
"Eswatini"	0		0		0	
"United Arab Emirates"	4	0	0	0	0	
"Egypt"		0			0	
"Cayman Islands"	0					
"Algeria"	0					
"Bangladesh"				0		
"Belarus"	0	0	0	0		
"Cameroon"			0			
"Central African Republic"			0			
"Sri Lanka"	0					
"Cyprus"	0					
"Ecuador"	0	0	0			
"Ghana"		0				
"Haiti"		0	0			
"Honduras"			0			
"Jamaica"	0		0			
"Kazakhstan"				0		
"Lebanon"		0	0			
"Macao, China"		0	0	0		
"Moldova, Republic of"			0			
"Pakistan"	1	0				
"Panama"	0					
"Peru"			0	0		
"Qatar"	0	0	0	0		
"Russian Federation"	0	0	0			
"Saint Kitts and Nevis"		0				
"Sierra Leone"			0			
"Sudan"	0					
"Suriname"			0			
"Tanzania, United Republic of"		0				
"Uruguay"				0		
